,Unnamed: 0,City,Total cases,In-patient,Recoveries,Deaths,Date,Location,Cases
31,,,,,"917,367","17,422",06-08-2021,Portugal,"979,987"
32,,,,,"864,775","15,240",06-08-2021,Japan,"985,690"
33,,,,,"857,777","6,509",06-08-2021,Israel,"891,811"
34,,,,,"752,709","30,033",06-08-2021,Hungary,"809,855"
35,,,,,"753,006","10,100",06-08-2021,Jordan,"775,251"
36,,,,,No data,"7,132",06-08-2021,Serbia,"724,097"
37,,,,,"317,600","10,422",06-08-2021,Switzerland,"722,801"
38,,,,,"495,904","5,854",06-08-2021,Thailand,"714,684"
39,,,,,"663,663","9,994",06-08-2021,Nepal,"708,079"
40,,,,,"665,593","1,967",06-08-2021,United Arab Emirates,"688,489"
41,,,,,"590,042","10,087",06-08-2021,Morocco,"665,325"
42,,,,,"645,272","10,748",06-08-2021,Austria,"661,922"
43,,,,,"507,661","6,531",06-08-2021,Kazakhstan,"618,513"
44,,,,,"530,545","20,550",06-08-2021,Tunisia,"602,757"
45,,,,,"538,039","7,926",06-08-2021,Lebanon,"567,044"
46,,,,,"512,373","8,297",06-08-2021,Saudi Arabia,"530,981"
47,,,,,No data,"13,000",06-08-2021,Greece,"506,672"
48,,,,,"443,880","31,644",06-08-2021,Ecuador,"487,702"
49,,,,,"412,909","17,935",06-08-2021,Bolivia,"476,795"
50,,,,,"424,949","15,207",06-08-2021,Paraguay,"454,194"
51,,,,,"444,613","3,503",06-08-2021,Belarus,"450,445"
52,,,,,"395,505","6,016",06-08-2021,Georgia,"440,353"
53,,,,,"421,263","6,875",06-08-2021,Panama,"439,599"
54,,,,,"382,141","3,184",06-08-2021,Cuba,"431,013"
55,,,,,"398,768","18,243",06-08-2021,Bulgaria,"426,932"
56,,,,,"335,510","5,108",06-08-2021,Costa Rica,"414,745"
57,,,,,"389,798","2,356",06-08-2021,Kuwait,"401,697"
58,,,,,No data,"12,541",06-08-2021,Slovakia,"392,898"
59,,,,,"374,386","5,982",06-08-2021,Uruguay,"382,155"
60,,,,,"333,958","10,578",06-08-2021,Guatemala,"381,514"
61,,,,,"355,000","8,270",06-08-2021,Croatia,"364,491"
62,,,,,"333,913","5,043",06-08-2021,Azerbaijan,"348,074"
63,,,,,"325,177","3,973",06-08-2021,Dominican Republic,"343,512"
64,,,,,"286,365","4,821",06-08-2021,Sri Lanka,"321,429"
65,,,,,"307,121","2,552",06-08-2021,Denmark,"321,154"
66,,,,,"230,308","10,988",06-08-2021,Myanmar,"319,520"
67,,,,,"312,362","3,609",06-08-2021,Palestine,"317,534"
68,,,,,"294,607","3,649",06-08-2021,Venezuela,"309,218"
69,,,,,No data,"5,044",06-08-2021,Ireland,"307,019"
70,,,,,"102,866","8,052",06-08-2021,Honduras,"304,181"
71,,,,,"282,763","3,906",06-08-2021,Oman,"298,020"
72,,,,,"270,221","4,424",06-08-2021,Lithuania,"285,209"
73,,,,,"232,280","16,557",06-08-2021,Egypt,"284,523"
74,,,,,"264,165","4,406",06-08-2021,Ethiopia,"282,498"
75,,,,,"267,301","1,384",06-08-2021,Bahrain,"269,737"
76,,,,,"196,714","3,663",06-08-2021,Libya,"262,948"
77,,,,,"252,548","6,270",06-08-2021,Moldova,"260,183"
78,,,,,No data,"4,429",06-08-2021,Slovenia,"259,764"
79,,,,,"220,825","4,636",06-08-2021,Armenia,"231,625"
80,,,,,"224,384",601,06-08-2021,Qatar,"227,055"
81,,,,,"195,685","4,057",06-08-2021,Kenya,"208,262"
82,,,,,"182,052","2,113",06-08-2021,South Korea,"207,406"
83,,,,,"190,492","9,689",06-08-2021,Bosnia and Herzegovina,"206,031"
84,,,,,"190,279","3,447",06-08-2021,Zambia,"198,455"
85,,,,,"58,040","2,720",06-08-2021,Vietnam,"189,066"
86,,,,,"118,409","4,404",06-08-2021,Algeria,"176,724"
87,,,,,"165,323","2,178",06-08-2021,Nigeria,"176,577"
88,,,,,"174,412",836,06-08-2021,Mongolia,"169,414"
89,,,,,"153,934","2,380",06-08-2021,Kyrgyzstan,"167,734"
90,,,,,"150,470","5,501",06-08-2021,North Macedonia,"156,926"
91,,,,,"102,150","6,897",06-08-2021,Afghanistan,"150,240"
92,,,,,"88,952",804,06-08-2021,Norway,"139,778"
93,,,,,"135,833","2,559",06-08-2021,Latvia,"139,284"
94,,,,,"128,191",916,06-08-2021,Uzbekistan,"134,826"
95,,,,,"129,422","1,276",06-08-2021,Estonia,"134,720"
96,,,,,"130,343","2,457",06-08-2021,Albania,"133,442"
97,,,,,"101,333","1,538",06-08-2021,Mozambique,"129,036"
98,,,,,No data,"2,598",06-08-2021,Puerto Rico,"129,011"
99,,,,,"96,891","3,142",06-08-2021,Namibia,"120,221"
100,,,,,"96,964","1,653",06-08-2021,Botswana,"115,220"
101,,,,,"84,889","3,754",06-08-2021,Zimbabwe,"114,489"
102,,,,,"31,000",984,06-08-2021,Finland,"109,982"
103,,,,,"105,325","2,258",06-08-2021,Kosovo,"107,749"
104,,,,,"98,814",854,06-08-2021,Ghana,"106,434"
105,,,,,No data,433,06-08-2021,Cyprus,"104,469"
106,,,,,"99,216","1,635",06-08-2021,Montenegro,"102,879"
107,,,,,"87,633","2,752",06-08-2021,Uganda,"94,904"
108,,,,,"87,492","4,636",06-08-2021,China,"93,498"
109,,,,,"76,952","2,681",06-08-2021,El Salvador,"88,371"
110,,,,,"80,433","1,334",06-08-2021,Cameroon,"82,064"
111,,,,,"74,045","1,526",06-08-2021,Cambodia,"80,813"
112,,,,,"75,253",222,06-08-2021,Maldives,"77,999"
113,,,,,"72,447",824,06-08-2021,Luxembourg,"74,212"
114,,,,,"44,923",860,06-08-2021,Rwanda,"74,364"
115,,,,,"63,457",40,06-08-2021,Singapore,"65,508"
116,,,,,"49,234","1,441",06-08-2021,Senegal,"65,333"
117,,,,,"40,450","1,748",06-08-2021,Malawi,"54,715"
118,,,,,"47,127","1,211",06-08-2021,Jamaica,"53,839"
119,,,,,"49,433","1,249",06-08-2021,Transnistria,"51,089"
120,,,,,"30,043","1,045",06-08-2021,DR Congo,"51,048"
121,,,,,"49,710",338,06-08-2021,Cote d'Ivoire,"50,893"
122,,,,,"40,979","3,672",06-08-2021,Donetsk PR,"49,535"
123,,,,,"39,847","1,032",06-08-2021,Angola,"43,267"
124,,,,,"40,450",947,06-08-2021,Madagascar,"42,753"
125,,,,,"32,637","1,117",06-08-2021,Trinidad and Tobago,"39,577"
126,,,,,"30,867","2,776",06-08-2021,Sudan,"37,138"
